Gene_names,Fold.Change,pvalue
Rpl24,0.763292212,0.3837334
Serpina3k,-0.391776015,0.390307812
Rab6b;Rab6a;Rab39a,-2.090177664,0.399009053
Rpl14,1.089898848,0.402664373
Etfdh,2.072764093,0.410700105
Cox6a1,1.773642212,0.410835793
Rpl6,1.761223985,0.411937237
Rpl28,0.925523985,0.412895694
Kng1,-0.254842681,0.4135341
Cep290,-4.029723152,0.41778846
Rpl18a,1.712957319,0.418455091
Sirt5,-1.471609348,0.427071245
Cfi,-0.281347055,0.437329128
Magi3,0.936582181,0.441842848
Rpl13,1.415657319,0.441966617
Myom1,1.005357319,0.44460228
Ighv3-6,-0.524976015,0.449797679
Rps4l;Rps4x,0.805734016,0.45927183
Rps18,0.637824124,0.466134086
Serpinf2,-1.168514287,0.479674119
Hbb-b1,0.443123985,0.487248729
Cad,-0.654778692,0.491327093
Rpl18,0.575192212,0.491484312
Col6a2,2.185942212,0.497803503
Ptrf,2.128742349,0.514019369
Rpl4,0.942657319,0.514414987
Tars2,1.061110635,0.515221003
Rps14,0.880900683,0.515893982
Rps11,0.458223985,0.527034958
Nnt,-1.372667819,0.536726065
Murc,0.775323985,0.541171442
Mb,0.841123985,0.549140935
Hist2h2ac;Hist2h2aa1;Hist1h2ah;H2afj;Hist1h2ak;Hist1h2af;Hist3h2a;H2afx,-0.627907788,0.556650079
,-0.477609348,0.565678286
Tra2a,-0.92387202,0.577343763
Rps12,-0.614342681,0.580621129
Shmt2,0.724298848,0.589496045
Dnaja2,-2.056177664,0.598521738
,-0.435309348,0.603752222
Tuba4a,-0.269957651,0.60993334
Hspb1,2.140115071,0.610146247
Rpl17,0.568898848,0.612410621
Lamc3,-0.52656924,0.615903074
Dsp,0.544457319,0.630674597
Lmna,1.357215514,0.631133594
Vtn,0.338757319,0.634645559
Rpl19,0.924357319,0.637890893
Plec,-1.933704498,0.640410325
Rps6,0.636750683,0.655631501
Tgm2,-0.658542681,0.666794268
Sdpr,-0.622409348,0.675287042
Pdia4,-0.406442681,0.675445573
Tubb4b;Tubb4a,-0.290909348,0.68625092
Rpl15,0.758223985,0.699236051
,-1.143742681,0.713652177
Dsg1b;Dsg1a;Dsg1c,-0.759349317,0.713664431
Tpm3,-0.786449161,0.715602629
Apoe,-0.346076015,0.728781126
Itih1,0.614434016,0.739597654
Rbp4,-0.693927031,0.744810753
Tex15,-0.187780388,0.750649918
Drd4,-0.708593697,0.753597627
Rpl13a,0.731400683,0.754529762
Ighm,-0.409276015,0.764985989
Arhgef16,0.831977302,0.767762569
Rps23,0.714292212,0.772965206
Col6a1,-0.891676015,0.776294109
Tpm1,0.309457319,0.780594938
Rps8,0.418634016,0.78577368
Dpt,0.646943113,0.786087396
Myh4,0.329448848,0.786123315
Rpl5,0.579318361,0.795824386
Eef1a2,-0.141809348,0.800893407
Rpl11,0.256598848,0.812639085
Phgdh,-0.624714972,0.819230472
Acad11,0.433676447,0.829648558
Plg,0.150357319,0.840177465
Recql,0.285123985,0.850065034
Grn,0.083990652,0.861555244
Rpl7a,0.242090652,0.866276898
Actc1;Acta2;Acta1;Actg2,0.064823985,0.889366596
Arf4,0.166739636,0.8904911
Fga,-0.059076015,0.89232392
Cdc42,0.055492349,0.892397664
Mgst3,0.312272969,0.911168163
Myh14,-0.327056031,0.917127025
Abcb7,-0.065209348,0.921604426
Rps2,-0.116776015,0.941031062
H3f3c;H3f3a;Hist1h3b;Hist1h3a,0.066723985,0.947256999
Eef1a1,-0.077307788,0.95661376
Rpl27,0.081082181,0.956797088
Rpl9,0.061477302,0.962031599
H2-Q10,-0.129160364,0.962199487
Aldoa,0.027790652,0.966026787
Itih2,-0.026642681,0.966924044
Fetub,0.04410972,0.972395634
Pkm,-0.038509348,0.973679845
Apoa4,-0.014642681,0.979043687
Rpl22,-0.019276015,0.983861263
Srsf7,-0.013475876,0.990805679
,0,NA
Mrpl2,0,NA
Dnai2,0,NA
Mif,0,NA
Erlin2;Erlin1,0,NA
Pdlim5,0,NA
Acad10,0,NA
Lrrc40,0,NA
Abcb5,0,NA
Rpsa,0,NA
Cap1,0,NA
Cct8,0,NA
Nebl,0,NA
Nlrx1,0,NA
Lrrcc1,0,NA
Sco2,0,NA
Rpn1,0,NA
Mlycd,0,NA
Gatb,0,NA
Cox16,0,NA
Qrsl1,0,NA
Mrpl13,0,NA
Dysf,0,NA
Mbnl1,0,NA
Ak1,0,NA
